sex,age,educ,yr_exp,level,dept,days_off,height
1,33,3,9.3,3,6,15,167
2,42,3,20,2,5,20,162
1,40,3,13,3,3,13,179
2,33,3,8,3,3,19,165
1,32,3,3,3,6,17,157
2,59,3,28,2,6,10,157
1,55,3,30,1,4,13,179
2,34,3,11,3,3,12,172
2,62,3,5,3,5,18,157
1,37,3,9,2,2,10,168
2,46,3,27,2,6,19,154
2,34,3,9,3,4,12,157
1,48,4,0.25,3,4,15,184
1,43,3,10,3,2,7,168
1,40,3,8,3,5,18,189
2,28,2,4.5,3,1,15,165
1,30,3,12,2,3,10,178
2,33,3,9,3,1,18,171
2,32,3,5,4,5,12,155
1,38,4,9,3,4,19,171
1,36,3,13,2,3,20,184